127.0.0.1 - - [09/Apr/2017:12:44:22 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [09/Apr/2017:12:44:25 +0800] "GET /MyJavaWebAPP/ HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [09/Apr/2017:12:46:41 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [09/Apr/2017:12:46:56 +0800] "GET /MyJavaWebAPP/register.jsp HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [09/Apr/2017:12:47:00 +0800] "POST /MyJavaWebAPP/request.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:47:00 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:47:04 +0800] "GET /MyJavaWebAPP/register.jsp HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:47:08 +0800] "POST /MyJavaWebAPP/request.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:47:10 +0800] "GET /MyJavaWebAPP/register.jsp HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [09/Apr/2017:18:03:10 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:20:30:40 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:20:30:49 +0800] "GET /MyJavaWebAPP/response.jsp HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [09/Apr/2017:20:33:40 +0800] "GET /MyJavaWebAPP/response.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2017:20:33:40 +0800] "GET /MyJavaWebAPP/register.jsp HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [09/Apr/2017:20:33:45 +0800] "POST /MyJavaWebAPP/request.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [09/Apr/2017:20:33:53 +0800] "POST /MyJavaWebAPP/request.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [09/Apr/2017:20:35:54 +0800] "GET /MyJavaWebAPP/response.jsp HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [09/Apr/2017:20:35:54 +0800] "GET /MyJavaWebAPP/response.jsp HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:28 +0800] "GET /MyJavaWebAPP/response.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:28 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:35 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:39 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:40 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:40 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:40 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:40 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:47 +0800] "GET /MyJavaWebAPP/register.jsp HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:26:54 +0800] "POST /MyJavaWebAPP/request.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:28:50 +0800] "GET /MyJavaWebAPP/response.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:29:02 +0800] "GET /MyJavaWebAPP/regiter.jsp HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:29:05 +0800] "GET /MyJavaWebAPP/register.jsp HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:29:21 +0800] "POST /MyJavaWebAPP/request.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:32:43 +0800] "GET /MyJavaWebAPP/register.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:32:53 +0800] "POST /MyJavaWebAPP/response.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:32:53 +0800] "GET /MyJavaWebAPP/request.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:33:47 +0800] "GET /MyJavaWebAPP/register.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [09/Apr/2017:21:33:59 +0800] "POST /MyJavaWebAPP/response.jsp HTTP/1.1" 200 827
